"","V1","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"1","'b01372058'",0.0771133701828302,NA,NA,NA,0.690037005466393,0.0131441626368887,NA,1.83094666045501e-05,NA,0,NA,NA,NA,0.0165192076476608,0.135964064620211,0,0.0463209161243335,0.0208829638550785,NA,NA
"2","'b01463500'",0.0129720298395855,NA,NA,NA,0.789274841098866,0.00458632292983424,NA,0,NA,8.18986237470401e-05,NA,NA,NA,0.00226111417736393,0.127573130129792,NA,0.0500329374899852,0.0132177257108266,NA,NA
"3","'b01578310'",0.00357137124604741,NA,NA,NA,0.669199174616423,0.00296053746239137,NA,4.36946794148123e-05,NA,2.31849319343902e-05,NA,NA,NA,0.000859625937875083,0.275664382059143,0,0.0399690391985861,0.00770898986818474,NA,NA
"4","'b01646580'",0.00163896482481218,NA,NA,NA,0.616077702780193,8.34078791253016e-05,NA,6.25559093439762e-05,NA,0,NA,NA,NA,0.000289842379960423,0.338571348142402,2.7107560715723e-05,0.0410199949538233,0.00222907556962368,NA,NA
"5","'b02226160'",0.415869222590317,NA,0.0142582658967442,NA,0.193384889417669,4.44449002895756e-05,NA,5.64108349829229e-05,NA,0.00225814281855882,NA,NA,NA,0.0786059344198402,0.188333555557835,0.000309404882785123,0.0995941838719713,0.00728554480900659,NA,NA
"6","'b02359170'",0.359357590387418,NA,0.0265118045398316,NA,0.212905344347645,0.00094125491464159,NA,0.000373493960803187,NA,0.000953788269030959,NA,NA,NA,0.0502198977027615,0.261113638670913,0.000115306860382192,0.0737725772712631,0.0137353030753092,NA,NA
"7","'b02470500'",0.284074916525078,NA,0.00219746429965258,NA,0.381825472226743,0.00531288523908828,NA,0.00545367613476054,NA,0.000155996312404861,NA,NA,NA,0.0855777748618419,0.184562785136761,8.3348210237976e-05,0.0392204013892119,0.0115352796642193,NA,NA
"8","'b03303280'",0.00252557748050113,NA,NA,NA,0.632932799310223,0.000815405021212548,NA,1.80255331677321e-05,NA,3.83042579814307e-05,NA,NA,NA,0.000935324887703432,0.302758357212992,9.06283750933197e-05,0.0536282143656489,0.00625736355547633,NA,NA
"9","'b03374100'",0.000858506582951597,NA,NA,NA,0.298115343135685,NA,NA,NA,NA,NA,NA,NA,NA,0.000501863300979167,0.634545279815485,1.28135310888298e-05,0.0618914907475628,0.00407470288624788,NA,NA
"10","'b03378500'",0.0010205183540803,NA,NA,NA,0.178209047991565,4.12164117156826e-06,NA,5.77029764019556e-06,NA,9.89193881176382e-06,NA,NA,NA,0.00109965386457441,0.775457110614133,3.87434270127416e-05,0.0392841863344514,0.00487095553655937,NA,NA
