"","V1","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"21","'b06805500'",0.0645392236968404,NA,NA,NA,0.00217471864081785,0,NA,0.163181526110789,NA,0.534670556757437,NA,NA,NA,0.000559828561002614,0.220879565464244,0.000587593337813473,0.00696867566547637,0.00358505597718982,0.00285325578838934,NA
"22","'b06934500'",0.0431259925988914,NA,NA,NA,0.0231802995249947,6.46632864049999e-05,NA,0.0953428059000271,NA,0.496026115407963,NA,0,0,0.000600996400767046,0.323871605881084,0.00236248945092915,0.00481960129361928,0.00899494226103508,0.00161048799428395,NA
"23","'b07022000'",0.0325894755271841,NA,NA,NA,0.0780655195178179,0.000242201987744498,NA,0.0697703737276057,NA,0.364060526535413,NA,0,0,0.00660800268586892,0.419683594892874,0.0017580746589329,0.0127290146408991,0.0133144722563001,0.00117874356936024,NA
"24","'b07263620'",0.0467288903728368,NA,1.22527809983872e-06,NA,0.086525769895836,0.000191296543337321,NA,0.0620872918750278,NA,0.465420048306589,NA,NA,NA,0.000601152067733373,0.31878734226459,0.00087331696566005,0.0108484591362096,0.00721183373588824,0.000723373558192286,NA
"25","'b07288955'",0.08406885287637,NA,7.1714275981634e-05,NA,0.214527878028359,0.00137332838504829,NA,0.00710329903598085,NA,0.000466142793880621,NA,NA,NA,0.0714632760156983,0.583924527895957,6.63357052830114e-05,0.012049791221814,0.024884853765627,NA,NA
"26","'b07373420'",0.0316465872641051,NA,3.7142197446782e-06,0,0.176238186327928,0.000376697854786966,0,0.0520625980245374,0,0.289936467216091,NA,0,0,0.00960195445619528,0.407249148193295,0.00124202664121188,0.0180948344552211,0.0127140907388526,0.000833694608031321,NA
"27","'b07374000'",0.0317079795024525,NA,3.85945558392994e-06,0,0.176230017985063,0.000388349809412491,0,0.0520366600195453,0,0.289749619189837,NA,0,0,0.00987151724731649,0.4071014067104,0.0012414582128308,0.0181097044555453,0.0127262700740724,0.000833157337940722,NA
"28","'b07374525'",0.031704787360345,NA,3.85906704038744e-06,0,0.176212276354412,0.000388310713014723,0,0.0520314213251792,0,0.289720449183594,NA,0,0,0.00989030380515819,0.407066769957513,0.00124335765993598,0.0181182143156288,0.012787176796809,0.000833073461368883,NA
"29","'b07381495'",0.192207535926321,NA,0.000208761491294464,NA,0.0977725616255354,0.00134786181754921,0,0.05733462987029,0,0.240574249893217,NA,NA,NA,0.0806891725748679,0.306040191780146,0.00012852853008801,0.010910124802501,0.0127863816881898,NA,NA
"30","'b07381590'",0.0652840043791781,NA,0.000183485116298983,NA,3.05808527164971e-05,3.05808527164971e-05,NA,0.00166971455832074,NA,9.78587286927909e-05,NA,NA,NA,0.321924636546565,0.457275490669782,6.72778759762937e-05,0.0296634271350022,0.123772943284751,NA,NA
"31","'b07381600'",0.182871163565849,NA,0.000203211273528702,NA,0.0916550986316945,0.00126721089971731,0,0.053816672767061,0,0.225563296782886,NA,NA,NA,0.104841198299158,0.309212114604344,0.000237282624779023,0.0116093262049577,0.0187234243460247,NA,NA
"32","'b08012150'",0.0835443037974684,NA,NA,NA,NA,NA,NA,0.00247926669576604,NA,8.72981230903536e-05,NA,NA,NA,0.25031863814928,0.645325185508512,0.000104757747708424,0.0163247490178961,0.00181580096027935,NA,NA
"33","'b08116650'",0.0341400884248044,NA,2.65508060293694e-06,NA,0.0197145044929274,0.000584648748766715,0.00041897171914345,0.164068581794006,0,0.366945945745021,NA,NA,NA,0.00552947086367648,0.389899117557411,0.000474728411805126,0.0112092192894792,0.00701206787235647,NA,NA
"34","'b08475000'",0.0647312769916333,NA,1.04475588155434e-05,0.000303428563019169,0.0168926915506548,0.012691312495359,0.455882037399789,0.258013137187344,0.0113143691792072,0.122684222759479,NA,NA,NA,0.000304551956440195,0.0438517745290988,0.00505740484211773,0.00449548345292044,0.00338736818242022,0.000380493351701565,NA
"35","'b09522000'",0.136510072905214,NA,NA,0,0.0277847331080529,8.19536004718636e-05,0.171677623692313,0.588184241150045,0,0.0360490445017901,NA,NA,NA,0.000504822358675843,0.0170063571171481,0.0124097648502978,0.00363068240359666,0.00217807453561761,0.00398262977677691,NA
"36","'b11303500'",0.191170140406334,NA,NA,NA,0.000190581965031495,0.00109091745500787,0.000584889478889762,0.250615284016416,NA,0.239660106923054,NA,NA,NA,0.00866162172108658,0.249415931995097,0.0286661562574959,0.0188511850583739,0.00995626472492122,0.00113691999829133,NA
"37","'b11447650'",0.373648585604115,NA,NA,NA,0.00104867728731324,0.00186713238485848,0.000113589802881124,0.300601214599535,NA,0.168929334972272,NA,NA,NA,0.00517340700443406,0.119590792735121,0.00188335949955578,0.0180861335248133,0.00854864686147318,0.000509125723627896,NA
"38","'b14246900'",0.329405175222897,4.67378215725707e-07,0,NA,0.00623837747222044,0.00738139763659923,NA,0.447277680801991,NA,0.0717930329611943,0,0.00133950596626988,7.69304543084513e-05,0.00118106475113886,0.0953748812625643,0.0157162468332789,0.0068269935971054,0.0111066824428625,0.0062815632193535,NA
"39","'b15565447'",0.248083453730775,0.0230498054930519,NA,NA,0.0300603380320875,0.110745258130488,NA,0.321860494345388,NA,0.0416232971490211,0.0111021643473889,0.0966289377284908,0.0119612163639647,0.0335522960117534,0.000528899656867291,0.0455312059186732,0.000145895464107733,0.0127231064248305,0.0124036312031121,NA
"40","'b32202309'",0.0294056779934693,NA,4.30066961856028e-07,NA,0.17533528987997,0.000277629727226159,0,0.0528681101176134,NA,0.295422995155769,NA,0,0,0.00738381966810614,0.406486368834114,0.00126203149956651,0.0182238939785163,0.012484263312282,0.000849489766406119,NA
